,3_months_return
128240,
128241,
128242,
128243,
128244,
128245,
128246,
128247,
128248,
128249,
128250,
128251,
128252,
128253,
128254,
128255,
128256,
128257,
128258,
128259,
128260,
128261,
128262,
128263,
128264,
128265,
128266,
128267,
128268,
128269,
128270,
128271,
128272,
128273,
128274,
128275,
128276,
128277,
128278,
128279,
128280,
128281,
128282,
128283,
128284,
128285,-9.761102651994113
128286,-8.474120052164992
128287,-9.879143924737122
128288,-10.414148797295809
128289,-8.389281365349643
128290,-7.467707680341151
128291,-7.83879720043863
128292,-11.24380309048213
128293,-10.913332570621058
128294,-12.475952416394287
128295,-12.755774171612433
128296,-12.245181240723358
128297,-10.591477274076745
128298,-12.524282565848265
128299,-13.180124366624558
128300,-13.792398265591144
128301,-9.25360432783956
128302,-8.80689949824892
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,9.30297292014981
64,8.6813178982025
65,6.470750919399637
66,5.945948007944457
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,-0.8062705614817034
131,-3.3951606035148463
132,-6.113534882398108
133,-5.935002435146686
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,1.400988106259038
198,1.4165090458517993
199,0.22916981429756955
200,-0.21671902768675144
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,9.719522807939352
265,10.990849384778144
266,8.816331097868835
267,5.278601561005525
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,5.820463757763639
332,5.2609992048560095
333,5.189671744304136
334,4.451943408779502
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,-24.330618340655562
399,-27.363733303008118
400,-37.50000338662741
401,-37.804876084961116
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
